player_name,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Stephanie Lynn Marie Labbé,4,371,0,0,92.75,0.0
Desiree Rose Marie Scott,10,910,0,1,91.0,0.1
Marie Aurelle Awona,3,277,0,0,92.33333333333333,0.0
Kumi Yokoyama,2,117,0,2,58.5,1.0
Mana Iwabuchi,17,1492,3,7,87.76470588235294,0.4117647058823529
Linda Ruth Bravo,3,251,0,1,83.66666666666667,0.3333333333333333
Vanesa Santana,3,265,2,1,88.33333333333333,0.3333333333333333
Emi Nakajima,4,327,0,2,81.75,0.5
Jun Endo,7,595,2,4,85.0,0.5714285714285714
María Florencia Bonsegundo,6,493,0,2,82.16666666666667,0.3333333333333333
Mariana Valeria Larroquette,6,518,2,3,86.33333333333333,0.5
Flavia Lorena Benítez,5,394,0,3,78.8,0.6
Mariela Del Carmen Coronel,1,91,1,0,91.0,0.0
Yuika Sugasawa,4,366,1,1,91.5,0.25
Saori Takarada,3,280,3,0,93.33333333333333,0.0
Florencia Soledad Jaimes,3,251,0,2,83.66666666666667,0.6666666666666666
Estefanía Romina Banini Ruiz,10,787,0,6,78.7,0.6
Moeka Minami,6,564,0,0,94.0,0.0
Virginia Gómez,1,93,0,0,93.0,0.0
Aya Sameshima,4,367,0,0,91.75,0.0
Hina Sugita,7,600,1,1,85.71428571428571,0.14285714285714285
Yui Hasegawa,8,752,2,0,94.0,0.0
Ayaka Yamashita,9,820,0,0,91.11111111111111,0.0
Risa Shimizu,9,805,0,2,89.44444444444444,0.2222222222222222
Aldana Cometti,6,550,0,0,91.66666666666667,0.0
Eliana Noemí Stábile,6,562,0,0,93.66666666666667,0.0
Narumi Miura,4,368,1,0,92.0,0.0
Agustina Barroso Basualdo,3,276,0,0,92.0,0.0
Miriam Anahí Mayorga,5,465,1,0,93.0,0.0
Saki Kumagai,9,837,0,0,93.0,0.0
Vanina Noemí Correa,6,555,0,0,92.5,0.0
Elizabeth Doon Hassett,6,488,2,3,81.33333333333333,0.5
Annalie Longo,5,431,4,1,86.2,0.2
Merel van Dongen,7,679,3,1,97.0,0.14285714285714285
Rosie White,8,681,3,2,85.125,0.25
Hannah Wilkinson,5,444,2,2,88.8,0.4
Sarah Gregorius,3,226,0,2,75.33333333333333,0.6666666666666666
Paige Therese Satchell,2,190,2,0,95.0,0.0
Shanice van de Sanden,7,586,2,4,83.71428571428571,0.5714285714285714
Lineth Beerensteyn,17,1499,8,4,88.17647058823529,0.23529411764705882
Lieke Martens,15,1303,0,6,86.86666666666666,0.4
Catherine Joan Bott,5,398,0,1,79.6,0.2
Dominique Johanna Anna Petrone Janssen,19,1835,0,0,96.57894736842105,0.0
Sherida Spitse,19,1752,2,5,92.21052631578948,0.2631578947368421
Stephanie van der Gragt,14,1325,0,3,94.64285714285714,0.21428571428571427
Abby Erceg,15,1369,0,0,91.26666666666667,0.0
Erin Nayler,3,271,0,0,90.33333333333333,0.0
Desiree van Lunteren,7,670,0,0,95.71428571428571,0.0
Rebekah Ashley Stott,14,1180,2,4,84.28571428571429,0.2857142857142857
Katie Bowen,11,1031,0,0,93.72727272727273,0.0
