player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate,goal_contribution,goal_contribution_per_match,shot_conversion_rate,attack_volume,defensive_actions,defensive_actions_per_match,discipline_score,discipline_per_match,availability_score,substitution_impact,actions_total,actions_per_match,injury_proxy_score,attack_index,defense_index,impact_score
Abdelaziz Barrada,1.0,6.0,27.0,1128.0,833.0,0.0,19.0,18.0,0.0,0.0,28.0,0.7384751773049646,27,2153,8,14,79.74074074074075,0.5185185185185185,7.0,0.25925925925925924,0.037037037037037035,1155.0,37.0,1.3703703703703705,14.0,0.5185185185185185,79.74074074074075,0.2962962962962963,1192.0,44.148148148148145,0.11399176954732515,44.77777777777777,2.2222222222222223,126.62674897119341
Abdelhamid El Kaoutari,1.0,0.0,3.0,581.0,463.0,0.0,16.0,55.0,1.0,0.0,9.0,0.7969018932874354,15,1372,1,0,91.46666666666668,0.0,1.0,0.06666666666666667,0.3333333333333333,584.0,71.0,4.733333333333333,5.5,0.36666666666666664,91.46666666666667,0.06666666666666667,655.0,43.666666666666664,0.0,44.8,9.1,145.36666666666667
Abdelhamid Sabiri,1.0,1.0,4.0,58.0,46.0,0.0,5.0,5.0,0.0,0.0,3.0,0.7931034482758621,5,419,3,2,83.8,0.4,2.0,0.4,0.25,62.0,10.0,2.0,1.5,0.3,83.8,0.6,72.0,14.4,0.06888888888888889,15.950000000000001,3.7,103.38111111111111
Abdelkader Mohamed Ghezzal,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,92,1,0,92.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,92.0,1.0,6.0,6.0,0.0,6.0,0.0,98.0
Abdelkarim Hassan Al Haj Fadlalla,0.0,0.0,6.0,158.0,125.0,0.0,3.0,7.0,0.0,0.0,2.0,0.7911392405063291,3,277,0,0,92.33333333333331,0.0,0.0,0.0,0.0,164.0,10.0,3.3333333333333335,1.0,0.3333333333333333,92.33333333333333,0.0,174.0,58.0,0.0,58.0,6.333333333333334,156.66666666666666
Abderrazak Hamdallah,0.0,0.0,2.0,16.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.5,4,375,4,0,93.75,0.0,0.0,0.0,0.0,18.0,2.0,0.5,2.0,0.5,93.75,1.0,20.0,5.0,0.0,5.0,0.5,99.25
Abdessamad Ezzalzouli,0.0,0.0,5.0,55.0,40.0,0.0,3.0,1.0,0.0,0.0,7.0,0.7272727272727273,7,636,5,2,90.85714285714286,0.2857142857142857,0.0,0.0,0.0,60.0,4.0,0.5714285714285714,3.5,0.5,90.85714285714286,0.7142857142857143,64.0,9.142857142857142,0.0,9.142857142857142,0.6428571428571428,100.64285714285714
Abdiel Armando Ayarza Cocanegra,0.0,1.0,3.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,0.8888888888888888,4,364,4,0,91.0,0.0,1.0,0.25,0.0,12.0,2.0,0.5,1.5,0.375,91.0,1.0,14.0,3.5,0.0,4.0,0.625,95.625
Abdiel Arroyo Molinar,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333333333333334,2,185,2,0,92.5,0.0,0.0,0.0,0.0,6.0,1.0,0.5,0.5,0.25,92.5,1.0,7.0,3.5,0.0,3.5,0.75,96.75
Abdou Diallo,0.0,0.0,5.0,624.0,537.0,0.0,8.0,25.0,1.0,0.0,16.0,0.8605769230769231,12,1045,1,4,87.08333333333333,0.3333333333333333,0.0,0.0,0.0,629.0,33.0,2.75,9.0,0.75,87.08333333333333,0.08333333333333333,662.0,55.166666666666664,0.03240740740740744,55.166666666666664,4.75,146.96759259259258
Abdou Kader Mangane,1.0,1.0,15.0,1006.0,753.0,0.0,40.0,178.0,1.0,0.0,38.0,0.7485089463220675,30,2691,3,1,89.7,0.0333333333333333,2.0,0.06666666666666667,0.06666666666666667,1021.0,218.0,7.266666666666667,20.0,0.6666666666666666,89.7,0.1,1239.0,41.3,0.0033333333333332993,41.63333333333333,13.866666666666667,145.19666666666666
Abdoul Bamo Meité,0.0,0.0,0.0,41.0,39.0,0.0,2.0,2.0,0.0,0.0,0.0,0.951219512195122,1,92,0,0,92.0,0.0,0.0,0.0,0.0,41.0,4.0,4.0,0.0,0.0,92.0,0.0,45.0,45.0,0.0,45.0,8.0,145.0
Abdoul Fessal Tapsoba,0.0,1.0,1.0,30.0,18.0,0.0,1.0,2.0,0.0,0.0,7.0,0.6,4,325,2,2,81.25,0.5,1.0,0.25,0.0,31.0,3.0,0.75,3.5,0.875,81.25,0.5,34.0,8.5,0.09722222222222221,9.0,0.625,90.77777777777777
Abdoul Karim Yoda,0.0,0.0,8.0,539.0,400.0,0.0,23.0,20.0,1.0,0.0,16.0,0.7421150278293135,19,1710,10,1,90.0,0.0526315789473684,0.0,0.0,0.0,547.0,43.0,2.263157894736842,9.0,0.47368421052631576,90.0,0.5263157894736842,590.0,31.05263157894737,0.0,31.05263157894737,4.052631578947368,125.10526315789474
Abdoul Razack Guiebre,0.0,0.0,2.0,34.0,23.0,0.0,4.0,2.0,0.0,0.0,1.0,0.6764705882352942,1,76,0,1,76.0,1.0,0.0,0.0,0.0,36.0,6.0,6.0,0.5,0.5,76.0,0.0,42.0,42.0,0.15555555555555556,42.0,11.5,129.34444444444443
Abdoul Razzagui Camara,2.0,0.0,29.0,467.0,330.0,0.0,16.0,15.0,2.0,0.0,23.0,0.7066381156316917,17,1479,0,5,87.0,0.2941176470588235,2.0,0.11764705882352941,0.06896551724137931,496.0,31.0,1.8235294117647058,13.5,0.7941176470588235,87.0,0.0,527.0,31.0,0.033333333333333326,31.442190669371197,2.8529411764705883,121.26179851250845
Abdoulay Konko,0.0,0.0,13.0,1132.0,869.0,0.0,30.0,61.0,0.0,0.0,44.0,0.7676678445229682,21,1787,1,3,85.0952380952381,0.1428571428571428,0.0,0.0,0.0,1145.0,91.0,4.333333333333333,22.0,1.0476190476190477,85.0952380952381,0.047619047619047616,1236.0,58.857142857142854,0.05449735449735449,58.857142857142854,7.619047619047619,151.5169312169312
Abdoulaye Ba,0.0,0.0,1.0,45.0,30.0,0.0,6.0,14.0,0.0,0.0,5.0,0.6666666666666666,2,134,0,1,67.0,0.5,0.0,0.0,0.0,46.0,20.0,10.0,2.5,1.25,67.0,0.0,66.0,33.0,0.25555555555555554,33.0,18.75,118.49444444444444
Abdoulaye Bamba,0.0,0.0,0.0,56.0,49.0,0.0,2.0,3.0,0.0,0.0,0.0,0.875,2,182,0,0,91.0,0.0,0.0,0.0,0.0,56.0,5.0,2.5,0.0,0.0,91.0,0.0,61.0,30.5,0.0,30.5,5.0,126.5
Abdoulaye Diallo,0.0,0.0,0.0,169.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757396449704142,7,643,0,0,91.85714285714286,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,91.85714285714286,0.0,169.0,24.142857142857142,0.0,24.142857142857142,0.0,116.0
Abdoulaye Doucouré,2.0,4.0,30.0,1154.0,977.0,0.0,31.0,21.0,2.0,0.0,29.0,0.8466204506065858,31,2702,7,3,87.16129032258064,0.0967741935483871,6.0,0.1935483870967742,0.06666666666666667,1184.0,52.0,1.6774193548387097,16.5,0.532258064516129,87.16129032258064,0.22580645161290322,1236.0,39.87096774193548,0.03154121863799286,40.45806451612903,2.8225806451612905,130.41039426523298
Abdoulaye Keita,0.0,0.0,0.0,23.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.6086956521739131,4,371,4,0,92.75,0.0,0.0,0.0,0.0,23.0,3.0,0.75,0.0,0.0,92.75,1.0,26.0,6.5,0.0,6.5,1.5,100.75
Abdoulaye Sadio Diallo,2.0,2.0,16.0,380.0,290.0,0.0,6.0,10.0,0.0,0.0,19.0,0.7631578947368421,15,1131,6,9,75.4,0.6,4.0,0.26666666666666666,0.125,396.0,16.0,1.0666666666666667,9.5,0.6333333333333333,75.4,0.4,412.0,27.466666666666665,0.16222222222222227,28.375,1.5,105.11277777777778
Abdoulaye Seck,1.0,0.0,5.0,61.0,53.0,0.0,0.0,5.0,0.0,0.0,1.0,0.8688524590163934,2,186,1,0,93.0,0.0,1.0,0.5,0.2,66.0,5.0,2.5,0.5,0.25,93.0,0.5,71.0,35.5,0.0,37.1,4.75,134.85
Abdoulaye Touré,0.0,0.0,2.0,178.0,147.0,0.0,6.0,6.0,0.0,0.0,7.0,0.8258426966292135,6,559,3,0,93.16666666666669,0.0,0.0,0.0,0.0,180.0,12.0,2.0,3.5,0.5833333333333334,93.16666666666667,0.5,192.0,32.0,0.0,32.0,3.4166666666666665,128.58333333333334
Abdoulaye Traoré,0.0,0.0,2.0,242.0,206.0,0.0,5.0,2.0,0.0,0.0,7.0,0.8512396694214877,10,856,6,3,85.6,0.3,0.0,0.0,0.0,244.0,7.0,0.7,3.5,0.35,85.6,0.6,251.0,25.1,0.04888888888888887,25.1,1.0499999999999998,111.70111111111112
Abdu Conté,0.0,0.0,0.0,86.0,69.0,0.0,2.0,1.0,0.0,0.0,1.0,0.8023255813953488,2,162,0,1,81.0,0.5,0.0,0.0,0.0,86.0,3.0,1.5,0.5,0.25,81.0,0.0,89.0,44.5,0.09999999999999998,44.5,2.75,128.15
Abdul Fatawu Issahaku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,98,1,0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0
Abdul Hakku Nediyodath,0.0,0.0,0.0,30.0,26.0,0.0,1.0,2.0,0.0,0.0,0.0,0.8666666666666667,1,94,1,0,94.0,0.0,0.0,0.0,0.0,30.0,3.0,3.0,0.0,0.0,94.0,1.0,33.0,33.0,0.0,33.0,6.0,133.0
Abdul Majeed Waris,11.0,3.0,55.0,379.0,291.0,0.0,3.0,2.0,1.0,0.0,19.0,0.7678100263852242,21,1750,1,5,83.33333333333333,0.238095238095238,14.0,0.6666666666666666,0.2,434.0,5.0,0.23809523809523808,10.5,0.5,83.33333333333333,0.047619047619047616,439.0,20.904761904761905,0.07407407407407407,22.83809523809524,-0.023809523809523836,106.07354497354497
Abdul Rabeeh,0.0,0.0,0.0,19.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,0.5263157894736842,3,238,2,1,79.33333333333333,0.3333333333333333,0.0,0.0,0.0,19.0,3.0,1.0,0.5,0.16666666666666666,79.33333333333333,0.6666666666666666,22.0,7.333333333333333,0.11851851851851847,7.333333333333333,1.8333333333333333,88.38148148148149
Abdul Rahman Baba,0.0,1.0,6.0,754.0,594.0,0.0,26.0,41.0,0.0,0.0,26.0,0.7877984084880637,18,1594,5,3,88.55555555555556,0.1666666666666666,1.0,0.05555555555555555,0.0,760.0,67.0,3.7222222222222223,13.0,0.7222222222222222,88.55555555555556,0.2777777777777778,827.0,45.94444444444444,0.016049382716049387,46.05555555555556,6.722222222222222,141.31728395061728
Abdulaziz Hatem Mohammed Abdullah,0.0,0.0,1.0,91.0,72.0,0.0,2.0,0.0,0.0,0.0,4.0,0.7912087912087912,3,271,1,1,90.33333333333331,0.3333333333333333,0.0,0.0,0.0,92.0,2.0,0.6666666666666666,2.0,0.6666666666666666,90.33333333333333,0.3333333333333333,94.0,31.333333333333332,0.0,31.333333333333332,0.6666666666666666,122.33333333333333
Abdulelah Al Amri,0.0,0.0,1.0,101.0,76.0,0.0,4.0,17.0,0.0,0.0,4.0,0.7524752475247525,3,295,1,0,98.33333333333331,0.0,0.0,0.0,0.0,102.0,21.0,7.0,2.0,0.6666666666666666,98.33333333333333,0.3333333333333333,123.0,41.0,0.0,41.0,13.333333333333334,152.66666666666666
Abdulelah Saad Hameed Al-Malki,0.0,0.0,2.0,86.0,71.0,0.0,3.0,5.0,1.0,0.0,8.0,0.8255813953488372,2,187,0,1,93.5,0.5,0.0,0.0,0.0,88.0,8.0,4.0,5.0,2.5,93.5,0.0,96.0,48.0,0.0,48.0,5.5,147.0
Abdulia Sanyang,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1,95,1,0,95.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,95.0,1.0,3.0,3.0,0.0,3.0,-0.5,97.5
Abdullah Ibrahim Al Maiouf,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,1,93,0,0,93.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,93.0,0.0,35.0,35.0,0.0,35.0,0.0,128.0
Abdullah Ibrahim Otayf,0.0,1.0,2.0,257.0,233.0,0.0,9.0,1.0,0.0,0.0,3.0,0.906614785992218,3,250,0,1,83.33333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,259.0,10.0,3.3333333333333335,1.5,0.5,83.33333333333333,0.0,269.0,89.66666666666667,0.07407407407407407,90.33333333333334,6.166666666666667,179.75925925925927
Abdullah Mohammed Madu,0.0,0.0,0.0,11.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.3636363636363636,1,95,1,0,95.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,0.5,0.5,95.0,1.0,15.0,15.0,0.0,15.0,7.5,117.5
Abdullahi Shehu,0.0,0.0,0.0,32.0,31.0,0.0,1.0,4.0,0.0,0.0,0.0,0.96875,1,89,0,0,89.0,0.0,0.0,0.0,0.0,32.0,5.0,5.0,0.0,0.0,89.0,0.0,37.0,37.0,0.011111111111111072,37.0,10.0,135.98888888888888
Abdulrahman Al-Obood,0.0,0.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,2,190,2,0,95.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,95.0,1.0,14.0,7.0,0.0,7.0,0.0,102.0
Abdón Prats Bastidas,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,185,2,0,92.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.25,92.5,1.0,4.0,2.0,0.0,2.0,-0.25,94.25
Abdülkerim Bardakcı,0.0,0.0,2.0,216.0,186.0,0.0,3.0,15.0,0.0,0.0,4.0,0.8611111111111112,4,373,0,0,93.25,0.0,0.0,0.0,0.0,218.0,18.0,4.5,2.0,0.5,93.25,0.0,236.0,59.0,0.0,59.0,8.5,160.75
Abel Eduardo Balbo,1.0,0.0,3.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,1,78,0,1,78.0,1.0,1.0,1.0,0.3333333333333333,25.0,0.0,0.0,0.0,0.0,78.0,0.0,25.0,25.0,0.1333333333333333,28.0,0.0,105.86666666666666
Abel Enrique Aguilar Tapia,0.0,0.0,0.0,201.0,161.0,0.0,5.0,11.0,1.0,0.0,11.0,0.8009950248756219,6,484,0,1,80.66666666666667,0.1666666666666666,0.0,0.0,0.0,201.0,16.0,2.6666666666666665,6.5,1.0833333333333333,80.66666666666667,0.0,217.0,36.166666666666664,0.10370370370370374,36.166666666666664,4.25,120.97962962962964
Abel Gómez Moreno,1.0,0.0,2.0,54.0,41.0,0.0,2.0,2.0,0.0,0.0,3.0,0.7592592592592593,3,271,2,0,90.33333333333331,0.0,1.0,0.3333333333333333,0.5,56.0,4.0,1.3333333333333333,1.5,0.5,90.33333333333333,0.6666666666666666,60.0,20.0,0.0,22.166666666666668,2.1666666666666665,114.66666666666666
Abelardo Carabelli,0.0,0.0,0.0,54.0,49.0,0.0,1.0,2.0,0.0,0.0,2.0,0.9074074074074074,1,84,0,0,84.0,0.0,0.0,0.0,0.0,54.0,3.0,3.0,1.0,1.0,84.0,0.0,57.0,57.0,0.06666666666666665,57.0,5.0,145.93333333333334
Abhishek Dhananjay Suryavanshi,0.0,0.0,0.0,22.0,17.0,0.0,1.0,0.0,0.0,0.0,2.0,0.7727272727272727,2,183,2,0,91.5,0.0,0.0,0.0,0.0,22.0,1.0,0.5,1.0,0.5,91.5,1.0,23.0,11.5,0.0,11.5,0.5,103.5
Abigail Harrison,2.0,2.0,12.0,235.0,150.0,0.0,13.0,11.0,0.0,0.0,6.0,0.6382978723404256,20,1650,12,7,82.5,0.35,4.0,0.2,0.16666666666666666,247.0,24.0,1.2,3.0,0.15,82.5,0.6,271.0,13.55,0.08333333333333337,14.450000000000001,2.25,99.11666666666667
Ablie Jallow,1.0,0.0,5.0,53.0,38.0,0.0,0.0,1.0,1.0,0.0,3.0,0.7169811320754716,2,180,0,1,90.0,0.5,1.0,0.5,0.2,58.0,1.0,0.5,2.5,1.25,90.0,0.0,59.0,29.5,0.0,31.1,-0.25,120.85
Abolfazl Jalali,0.0,0.0,0.0,29.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7241379310344828,1,98,1,0,98.0,0.0,0.0,0.0,0.0,29.0,1.0,1.0,0.5,0.5,98.0,1.0,30.0,30.0,0.0,30.0,1.5,129.5
Aboubacar Traoré,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,92,1,0,92.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,92.0,1.0,2.0,2.0,0.0,2.0,0.0,94.0
Aboubakar Kamara,0.0,0.0,2.0,28.0,16.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5714285714285714,4,322,3,1,80.5,0.25,0.0,0.0,0.0,30.0,2.0,0.5,0.5,0.125,80.5,0.75,32.0,8.0,0.10555555555555551,8.0,0.875,89.26944444444445
Aboubakary Koita,1.0,0.0,12.0,67.0,50.0,0.0,2.0,1.0,1.0,0.0,4.0,0.746268656716418,4,362,0,1,90.5,0.25,1.0,0.25,0.08333333333333333,79.0,3.0,0.75,3.0,0.75,90.5,0.0,82.0,20.5,0.0,21.25,0.75,112.5
Abraham González Casanova,1.0,1.0,16.0,593.0,464.0,0.0,29.0,9.0,0.0,0.0,18.0,0.7824620573355818,23,1872,8,9,81.3913043478261,0.391304347826087,2.0,0.08695652173913043,0.0625,609.0,38.0,1.6521739130434783,9.0,0.391304347826087,81.3913043478261,0.34782608695652173,647.0,28.130434782608695,0.09565217391304348,28.491847826086957,2.9130434782608696,112.70054347826088
Abraham Minero Fernández,0.0,0.0,0.0,39.0,28.0,0.0,2.0,5.0,0.0,0.0,4.0,0.717948717948718,3,226,1,0,75.33333333333333,0.0,0.0,0.0,0.0,39.0,7.0,2.3333333333333335,2.0,0.6666666666666666,75.33333333333333,0.3333333333333333,46.0,15.333333333333334,0.16296296296296298,15.333333333333334,4.0,94.50370370370369
