player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate,goal_contribution,goal_contribution_per_match,shot_conversion_rate,attack_volume,defensive_actions,defensive_actions_per_match,discipline_score,discipline_per_match,availability_score,substitution_impact,actions_total,actions_per_match,injury_proxy_score,attack_index,defense_index,impact_score,availability_ratio,minutes_variability,absence_rate,fatigue_index,injury_risk_score,sentiment_compound,positive_ratio,negative_ratio,neutral_ratio,hype_score
Colin Bell,0.0,0.0,2.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,1,89,1,0,89.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,89.0,1.0,17.0,17.0,0.011111111111111,17.0,0.0,105.9888888888889,0.9888888888888888,0.0,0.998236331569665,0.0089,0.0015751806592182,-0.10369000000000002,0.1,0.5,0.4,-0.40369
Colin Cameron,0.0,0.0,1.0,74.0,53.0,0.0,4.0,2.0,0.0,0.0,5.0,0.7162162162162162,2,180,0,0,90.0,0.0,0.0,0.0,0.0,75.0,6.0,3.0,2.5,1.25,90.0,0.0,81.0,40.5,0.0,40.5,4.75,135.25,1.0,0.0,0.9964726631393298,1.518,0.1964505823658881,0.005600000000000005,0.2,0.2,0.6,0.2056
Colin Cooper,0.0,0.0,0.0,54.0,41.0,0.0,1.0,1.0,0.0,0.0,4.0,0.7592592592592593,1,91,0,0,91.0,0.0,0.0,0.0,0.0,54.0,2.0,2.0,2.0,2.0,91.0,0.0,56.0,56.0,0.0,56.0,2.0,149.0,1.011111111111111,0.0,0.998236331569665,1.0091,0.213617757214897,-0.27852,0.0,0.6,0.4,-0.87852
Colin Dagba,0.0,0.0,0.0,25.0,24.0,0.0,1.0,0.0,0.0,0.0,2.0,0.96,2,157,1,1,78.5,0.5,0.0,0.0,0.0,25.0,1.0,0.5,1.0,0.5,78.5,0.5,26.0,13.0,0.1277777777777777,13.0,0.5,91.87222222222222,0.8722222222222222,0.0,0.9964726631393298,0.2657,0.1432797302493231,-0.06452,0.2,0.4,0.4,-0.06452
Collins John,0.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,83,1,0,83.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,83.0,1.0,9.0,9.0,0.0777777777777777,9.0,2.0,93.92222222222222,0.9222222222222224,0.0,0.998236331569665,0.5083,0.0466280374245835,-0.00998,0.3,0.3,0.4,0.29002
Connie Scofield,0.0,2.0,0.0,193.0,140.0,0.0,11.0,16.0,0.0,0.0,8.0,0.7253886010362695,8,697,2,2,87.125,0.25,2.0,0.25,0.0,193.0,27.0,3.375,4.0,0.5,87.125,0.25,220.0,27.5,0.0319444444444444,28.0,6.25,121.34305555555557,0.9680555555555556,0.0,0.9858906525573192,1.7572,0.2002306994878091,0.10757000000000001,0.3,0.2,0.5,0.50757
Connor Roberts,1.0,0.0,2.0,238.0,188.0,0.0,4.0,9.0,0.0,0.0,0.0,0.7899159663865546,7,555,1,2,79.28571428571429,0.2857142857142857,1.0,0.1428571428571428,0.5,240.0,13.0,1.8571428571428568,0.0,0.0,79.28571428571429,0.1428571428571428,253.0,36.142857142857146,0.119047619047619,37.92857142857143,3.7142857142857135,120.80952380952382,0.8809523809523809,0.0,0.9876543209876544,0.9840714285714284,0.1270695084491483,-0.11367000000000002,0.3,0.5,0.2,-0.013670000000000043
Connor Steven Randall,0.0,0.0,2.0,104.0,78.0,0.0,4.0,2.0,0.0,0.0,1.0,0.75,3,254,1,1,84.66666666666667,0.3333333333333333,0.0,0.0,0.0,106.0,6.0,2.0,0.5,0.1666666666666666,84.66666666666667,0.3333333333333333,112.0,37.333333333333336,0.0592592592592592,37.333333333333336,3.8333333333333335,125.77407407407408,0.9407407407407408,0.0,0.9947089947089948,1.0254,0.1401465105252026,-0.00683999999999999,0.1,0.1,0.8,0.09316000000000002
Connor Wickham,5.0,3.0,35.0,409.0,266.0,0.0,1.0,21.0,0.0,0.0,32.0,0.6503667481662592,21,1742,6,10,82.95238095238095,0.4761904761904761,8.0,0.3809523809523809,0.1428571428571428,444.0,22.0,1.0476190476190477,16.0,0.7619047619047619,82.95238095238095,0.2857142857142857,466.0,22.19047619047619,0.0783068783068783,23.38095238095238,1.3333333333333337,107.58835978835978,0.9216931216931216,0.0,0.962962962962963,0.6980095238095239,0.1822745968880961,-0.19986999999999996,0.1,0.5,0.4,-0.4998699999999999
Conor Gallagher,0.0,0.0,0.0,55.0,47.0,0.0,1.0,1.0,0.0,0.0,6.0,0.8545454545454545,5,445,4,1,89.0,0.2,0.0,0.0,0.0,55.0,2.0,0.4,3.0,0.6,89.0,0.8,57.0,11.4,0.011111111111111,11.4,0.2,100.58888888888887,0.9888888888888888,0.0,0.9911816578483246,0.2445,0.0895542816274282,-0.025750000000000006,0.3,0.4,0.3,0.17424999999999996
