player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Accursio Bentivegna,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1,89,1,0,89.0,0.0
Achille Emaná Edzimbi,0.0,1.0,4.0,43.0,29.0,0.0,1.0,3.0,1.0,0.0,8.0,0.6744186046511628,2,132,0,1,66.0,0.5
Achraf Dari,1.0,0.0,1.0,143.0,125.0,0.0,5.0,21.0,0.0,0.0,5.0,0.8741258741258742,5,438,2,1,87.6,0.2
Achraf Hakimi Mouh,8.0,8.0,37.0,3356.0,2964.0,0.0,81.0,54.0,4.0,1.0,61.0,0.8831942789034565,59,5269,5,10,89.30508474576271,0.1694915254237288
Achraf Lazaar,1.0,1.0,29.0,1357.0,911.0,0.0,30.0,65.0,0.0,0.0,40.0,0.6713338246131172,30,2582,4,7,86.06666666666666,0.2333333333333333
Ada Stolsmo Hegerberg,2.0,1.0,22.0,147.0,95.0,0.0,1.0,9.0,0.0,0.0,5.0,0.6462585034013606,8,711,1,3,88.875,0.375
Adalberto Eliécer Carrasquilla Alcázar,0.0,0.0,2.0,109.0,94.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8623853211009175,2,174,0,1,87.0,0.5
Adalberto Peñaranda Maestre,5.0,3.0,23.0,420.0,304.0,0.0,10.0,6.0,1.0,0.0,67.0,0.7238095238095238,25,1998,3,12,79.92,0.48
Adalid Terrazas Abasto,0.0,0.0,0.0,34.0,31.0,0.0,0.0,1.0,0.0,0.0,3.0,0.9117647058823528,2,187,2,0,93.5,0.0
Adam Buksa,1.0,0.0,3.0,10.0,9.0,0.0,0.0,3.0,0.0,0.0,2.0,0.9,2,153,0,1,76.5,0.5
Adam David Lallana,4.0,7.0,42.0,1046.0,817.0,0.0,17.0,34.0,2.0,0.0,33.0,0.7810707456978967,30,2614,7,13,87.13333333333334,0.4333333333333333
Adam Federici,0.0,0.0,0.0,130.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7461538461538462,6,502,0,1,83.66666666666667,0.1666666666666666
Adam Fernando Bareiro Gamarra,0.0,0.0,0.0,14.0,8.0,0.0,0.0,2.0,0.0,0.0,5.0,0.5714285714285714,3,231,2,1,77.0,0.3333333333333333
Adam Gnezda Čerin,0.0,0.0,4.0,165.0,130.0,0.0,7.0,8.0,0.0,0.0,11.0,0.7878787878787878,4,396,0,0,99.0,0.0
Adam Hloušek,0.0,0.0,1.0,206.0,157.0,0.0,3.0,30.0,0.0,0.0,7.0,0.7621359223300971,7,629,3,0,89.85714285714286,0.0
Adam Hložek,2.0,2.0,24.0,197.0,163.0,0.0,3.0,5.0,0.0,0.0,14.0,0.8274111675126904,28,2415,22,6,86.25,0.2142857142857142
Adam Johnson,2.0,5.0,16.0,600.0,443.0,0.0,10.0,7.0,0.0,0.0,8.0,0.7383333333333333,19,1678,8,3,88.3157894736842,0.1578947368421052
Adam Masina,2.0,3.0,13.0,1570.0,1161.0,0.0,39.0,106.0,0.0,0.0,36.0,0.7394904458598726,33,2876,3,6,87.15151515151516,0.1818181818181818
Adam Matthews,0.0,0.0,0.0,19.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8421052631578947,1,94,1,0,94.0,0.0
Adam Obert,0.0,0.0,0.0,27.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8518518518518519,2,191,2,0,95.5,0.0
Adam Ounas,5.0,2.0,46.0,515.0,353.0,0.0,11.0,5.0,1.0,0.0,24.0,0.6854368932038835,25,2052,10,10,82.08,0.4
Adam Smith,2.0,0.0,15.0,1274.0,1045.0,0.0,27.0,49.0,2.0,0.0,38.0,0.8202511773940345,31,2850,9,2,91.93548387096774,0.064516129032258
Adama Guira,0.0,0.0,1.0,64.0,56.0,0.0,2.0,0.0,0.0,0.0,3.0,0.875,2,127,0,1,63.5,0.5
Adama Traoré,0.0,1.0,11.0,246.0,208.0,0.0,8.0,3.0,0.0,0.0,10.0,0.8455284552845529,9,718,3,4,79.77777777777777,0.4444444444444444
Adama Traoré Diarra,0.0,1.0,2.0,69.0,41.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5942028985507246,11,1009,11,1,91.72727272727272,0.0909090909090909
Adamo Nagalo,0.0,0.0,0.0,45.0,35.0,0.0,2.0,4.0,0.0,0.0,2.0,0.7777777777777778,2,180,1,1,90.0,0.5
Adelina Engman,0.0,0.0,1.0,23.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,0.5652173913043478,2,115,0,2,57.5,1.0
Adelino André Vieira Freitas,1.0,5.0,28.0,1304.0,977.0,0.0,29.0,29.0,0.0,0.0,16.0,0.7492331288343558,26,2189,4,8,84.1923076923077,0.3076923076923077
Adem Ljajić,3.0,3.0,40.0,983.0,808.0,0.0,5.0,9.0,0.0,0.0,9.0,0.8219735503560529,29,2488,11,11,85.79310344827586,0.3793103448275862
Ademola Lookman,3.0,1.0,8.0,152.0,97.0,0.0,3.0,0.0,0.0,0.0,23.0,0.6381578947368421,7,641,1,4,91.57142857142856,0.5714285714285714
Aderllan Leandro de Jesus Santos,0.0,0.0,8.0,657.0,545.0,0.0,42.0,90.0,0.0,0.0,13.0,0.8295281582952816,17,1542,0,0,90.70588235294116,0.0
Adil Aouchiche,0.0,0.0,2.0,29.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9310344827586208,2,138,1,1,69.0,0.5
Adil Khan,0.0,0.0,2.0,285.0,198.0,0.0,22.0,57.0,0.0,0.0,9.0,0.6947368421052632,14,1245,6,3,88.92857142857143,0.2142857142857142
Adil Rami,0.0,1.0,20.0,1325.0,1044.0,0.0,32.0,138.0,3.0,0.0,37.0,0.7879245283018868,34,2977,0,2,87.55882352941177,0.0588235294117647
Adilson Cipriano da Cruz,0.0,0.0,0.0,111.0,68.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6126126126126126,4,305,0,0,76.25,0.0
Adilson Malanda,0.0,0.0,0.0,32.0,28.0,0.0,3.0,5.0,0.0,0.0,2.0,0.875,1,91,0,0,91.0,0.0
Adlène Guédioura,0.0,2.0,13.0,298.0,187.0,0.0,16.0,8.0,0.0,0.0,14.0,0.62751677852349,15,1338,15,2,89.2,0.1333333333333333
Admir Mehmedi,3.0,5.0,29.0,589.0,444.0,0.0,4.0,8.0,1.0,0.0,33.0,0.7538200339558574,30,2613,16,7,87.1,0.2333333333333333
Adnan Januzaj,2.0,2.0,17.0,187.0,140.0,0.0,2.0,1.0,0.0,0.0,16.0,0.7486631016042781,17,1418,12,5,83.41176470588235,0.2941176470588235
Adnane Tighadouini,1.0,0.0,15.0,146.0,88.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6027397260273972,10,838,6,4,83.8,0.4
Ado Onaiwu,0.0,0.0,2.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7333333333333333,2,152,1,1,76.0,0.5
Adolfo Abdiel Machado,0.0,0.0,0.0,32.0,17.0,0.0,2.0,4.0,0.0,0.0,0.0,0.53125,1,91,0,0,91.0,0.0
Adrian Beck,0.0,0.0,0.0,36.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,2,140,1,1,70.0,0.5
Adrian Mariappa,0.0,0.0,0.0,131.0,105.0,0.0,4.0,16.0,0.0,0.0,4.0,0.8015267175572519,3,256,0,1,85.33333333333333,0.3333333333333333
Adrian Mutu,0.0,0.0,1.0,62.0,43.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6935483870967742,2,138,0,2,69.0,1.0
Adrian Webster,0.0,0.0,0.0,29.0,25.0,0.0,0.0,2.0,0.0,0.0,1.0,0.8620689655172413,1,90,0,0,90.0,0.0
Adriana Achcińska,0.0,0.0,1.0,95.0,63.0,0.0,3.0,5.0,0.0,0.0,2.0,0.6631578947368421,3,235,0,2,78.33333333333333,0.6666666666666666
Adriana Kristina Leon,2.0,1.0,35.0,359.0,239.0,0.0,3.0,3.0,1.0,0.0,28.0,0.6657381615598886,22,1823,7,10,82.86363636363636,0.4545454545454545
Adriana Leal da Silva,0.0,0.0,8.0,114.0,90.0,0.0,1.0,3.0,0.0,0.0,1.0,0.7894736842105263,3,266,0,1,88.66666666666667,0.3333333333333333
Adriana María Sachs,0.0,0.0,0.0,43.0,23.0,0.0,4.0,7.0,0.0,0.0,2.0,0.5348837209302325,2,185,0,0,92.5,0.0
Adriana Nanclares Romero,0.0,0.0,0.0,78.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935897435897436,3,275,0,0,91.66666666666669,0.0
Adrianna Nichole Franch,0.0,0.0,0.0,92.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6630434782608695,4,361,0,0,90.25,0.0
Adriano Correia Claro,8.0,7.0,85.0,5893.0,5123.0,0.0,92.0,234.0,3.0,0.0,143.0,0.8693365009333107,112,9367,28,32,83.63392857142857,0.2857142857142857
Adriano Ferreira Martins,0.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,1,91,1,0,91.0,0.0
Adriano Russo,1.0,0.0,1.0,229.0,175.0,0.0,4.0,80.0,0.0,0.0,9.0,0.7641921397379913,10,905,1,1,90.5,0.1
Adrien Hunou,0.0,0.0,2.0,72.0,61.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8472222222222222,2,149,0,1,74.5,0.5
Adrien Rabiot,2.0,2.0,29.0,2203.0,1973.0,0.0,45.0,25.0,0.0,0.0,58.0,0.8955969133000454,39,3225,7,16,82.6923076923077,0.4102564102564102
Adrien Regattin,1.0,3.0,33.0,949.0,638.0,0.0,19.0,11.0,1.0,0.0,25.0,0.672286617492097,34,2917,18,11,85.79411764705883,0.3235294117647059
